,순위,제목,가수,앨범명
0,1,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
1,2,TOMBOY,(여자)아이들,I NEVER DIE
2,3,LOVE DIVE,IVE (아이브),LOVE DIVE
3,4,Feel My Rhythm,Red Velvet (레드벨벳),'The ReVe Festival 2022 - Feel My Rhythm'
4,5,사랑인가 봐,멜로망스 (MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
5,6,GANADARA (Feat. 아이유),박재범,GANADARA
6,7,취중고백,김민석 (멜로망스),취중고백
7,8,듣고 싶을까,MSG워너비 (M.O.M),듣고 싶을까
8,9,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
9,10,INVU,태연 (TAEYEON),INVU - The 3rd Album
10,11,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면 (경서예지 x 전건호)
11,12,신호등,이무진,신호등
12,13,ELEVEN,IVE (아이브),ELEVEN
13,14,"19금
                                        
                                        
                                        
                                            
                                                abcdefu",GAYLE,abcdefu
14,15,회전목마 (Feat. Zion.T & 원슈타인) (Prod. by Slom),sokodomo,쇼미더머니 10 Episode 2
15,16,Stay,The Kid LAROI & Justin Bieber,Stay
16,17,"스물다섯, 스물하나",자우림,"Goodbye, grief."
17,18,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2
18,19,어제처럼,폴킴,어제처럼
19,20,LOVE me,BE'O (비오),LOVE me
20,21,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
21,22,strawberry moon,아이유 (IU),strawberry moon
22,23,Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (What Doesn't Kill You) (Digital Audio Bundle)
23,24,RUN2U,STAYC (스테이씨),YOUNG-LUV.COM
24,25,리무진 (Feat. MINO) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Episode 3
25,26,SMILEY (Feat. BIBI),YENA (최예나),SMiLEY
26,27,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56
27,28,Next Level,aespa,Next Level
28,29,호랑수월가,탑현,호랑수월가
29,30,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마)
30,31,Weekend,태연 (TAEYEON),Weekend
31,32,너를 생각해,주시크 (Joosiq),너를 생각해
32,33,Bad Habits,Ed Sheeran,=
33,34,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3 (JTBC 금토 드라마)
34,35,MY BAG,(여자)아이들,I NEVER DIE
35,36,너의 번호를 누르고,김나영,너의 번호를 누르고
36,37,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아
37,38,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT
38,39,라일락,아이유 (IU),IU 5th Album 'LILAC'
39,40,바라만 본다,MSG워너비 (M.O.M),MSG워너비 1집
40,41,잊었니,임영웅,사랑의 콜센타 PART60
41,42,헤픈 우연,헤이즈 (Heize),HAPPEN
42,43,서랍,10CM,그 해 우리는 OST Part.1
43,44,존재만으로,원슈타인,스물다섯 스물하나 OST Part 4
44,45,Counting Stars (Feat. Beenzino),BE'O (비오),Counting Stars
45,46,내가 아니라도,주호,내가 아니라도
46,47,그대라는 사치,임영웅,사랑의 콜센타 PART62
47,48,Step Back,GOT the beat,Step Back
48,49,Tiny Riot,Sam Ryder,The Sun's Gonna Rise
49,50,드라마,아이유 (IU),조각집
